sID,sentence,sentence_ru,top_label,label,label_id,class_name
4435,The daily ups and downs.,Ежедневные взлеты и падения.,Everyday Decision Making,6,5,unknown
2776,this house remodel. it's a lot to take on alone,этот дом реконструируют. это очень сложно сделать в одиночку,Social Relationships,4,3,friends
173,corona virus,корона вирус,"Health, Fatigue, or Physical Pain",3,2,health
4110,I'm very nervous about the project and I need to just get it over with.,"Я очень нервничаю по поводу этого проекта, и мне нужно просто покончить с этим.",School,1,0,work
6356,Sorry i had to do that my mom is driving me insane.,"Прости, что мне пришлось это сделать, но моя мама сводит меня с ума.",Family Issues,2,1,family
1742,my boss has been avoiding all of my emails and i need something from him,"мой босс избегает всех моих писем, и мне нужно от него кое-что",Work,1,0,work
2889,uncertainty at work has stressed me out lately,неопределенность на работе в последнее время меня раздражает,Work,1,0,work
394,having to go to work tomorrow,завтра мне нужно идти на работу,Work,1,0,work
5273,jealous girlfriends get on my nerves,ревнивые подруги действуют мне на нервы,Social Relationships,4,3,friends
3761,I've been stressed about coronavirus,У меня стресс из-за коронавируса,"Health, Fatigue, or Physical Pain",3,2,health
4101,I'm tired of stressing about school.,Я устал переживать из-за школы.,School,1,0,work
6071,"Classes are tough, i haven't got a job yet. no income of money.","Уроки тяжелые, у меня еще нет работы. нет поступления денег.",School,1,0,work
2540,The coronavirus pandemic is stresing me out! How about you?,Пандемия коронавируса меня напрягает! А ты?,Emotional Turmoil,6,5,unknown
5046,Yeah that's me alright. I feel scared because I am going back to school.,"Да, это я, хорошо. Мне страшно, потому что я возвращаюсь в школу.",School,1,0,work
1977,my kids are not listening!,мои дети не слушаются!,Family Issues,2,1,family
6636,the one thing that really bothers me about jared is that he never had me hang out with his friends.,"Единственное, что меня действительно беспокоит в Джареде, это то, что он никогда не заставлял меня тусоваться со своими друзьями.",Social Relationships,4,3,friends
65,"at my current work, i am feeling so stressful and tired because of my team work pressure",на моей нынешней работе я чувствую себя таким напряженным и уставшим из-за давления в команде,Work,1,0,work
2939,"Well, my research is not going well.","Что ж, мои исследования идут не очень хорошо.",Work,1,0,work
1461,i've been really stressed about work.,я был очень напряжен из-за работы.,Work,1,0,work
1576,just school and homework in general,только школа и домашнее задание в целом,School,1,0,work
1042,i havent been able to make as much money as i need to pay rent.,"Я не смог заработать столько денег, сколько мне нужно, чтобы платить за аренду.",Financial Problem,5,4,finance
6783,Still can't afford a mortgage on anything worth having.,Все еще не могу позволить себе ипотеку на что-либо стоящее.,Financial Problem,5,4,finance
4465,"No more than three hours after finally picking something to major in I'm already getting shit about it. ""","Не прошло и трех часов после того, как я наконец выбрал что-то для своей специализации, и меня уже это бесит. """,School,1,0,work
1589,"Just the place overall the constant expectations, and leadership changes","Просто место в целом, постоянные ожидания и смена руководства.",Work,1,0,work
837,i have a new boss and she is not very approachable.,"у меня новый начальник, и она не очень общительна.",Work,1,0,work
714,i can't seem to find a job anywhere.,"Кажется, я нигде не могу найти работу.",Work,1,0,work
2136,"my work schedule has been stressing me out lately, there is no work life balance.","мой рабочий график в последнее время меня напрягает, нет баланса между работой и личной жизнью.",Work,1,0,work
464,hi there.  work is really stressing me out.,всем привет.  работа меня очень напрягает.,Work,1,0,work
698,i cant cook properly,я не умею правильно готовить,Other,6,5,unknown
3550,All my friends here had the flu.,Все мои друзья здесь заболели гриппом.,"Health, Fatigue, or Physical Pain",3,2,health
3847,Ahh I've been feeling really down lately because I have all this shit going on.,"Ааа, в последнее время мне очень плохо, потому что со мной происходит вся эта ерунда.",Other,6,5,unknown
1855,my dog keeps barking,моя собака продолжает лаять,Other,6,5,unknown
1255,i'm in the process of job hunting and almond is very sick.,"Я ищу работу, и Миндаль очень болен.",Social Relationships,4,3,friends
5297,I wonder how many years will go by before I can get anywhere near the holiday season without missing my Grandma so bad that I imagine her everywhere.,"Интересно, сколько лет пройдет, прежде чем я смогу приблизиться к сезону отпусков, не скучая по бабушке настолько сильно, что представляю ее повсюду.",Family Issues,2,1,family
1958,my job is stressful with a co-worker who i think is bipolar,"моя работа напряженная из-за коллеги, который, как мне кажется, страдает биполярным расстройством",Work,1,0,work
3413,I hate how Buffi and JJ freak out everytime I get sick and think i need to go to the hospital.,"Ненавижу, как Баффи и Джей-Джей сходят с ума каждый раз, когда я заболеваю, и думают, что мне нужно в больницу.",Social Relationships,4,3,friends
2867,trying to mesh two households: mine and my senior mom who we will be taking care of.,"пытаюсь объединить две семьи: мою и мою старшую маму, о которой мы будем заботиться.",Family Issues,2,1,family
4312,The adjustment with school and work have been making me insane.,Приспособление к школе и работе свело меня с ума.,School,1,0,work
3254,"Ive been trying to look for a job, but my current health issues poses a problem.","Я пытался найти работу, но мои текущие проблемы со здоровьем создают проблему.","Health, Fatigue, or Physical Pain",3,2,health
6234,My mom's in VA seeing my Aunt Lisa who is pretty sick.,"Моя мама в Вирджинии навещает мою тетю Лизу, которая очень больна.",Family Issues,2,1,family
6737,My stepmother's mom died and I was sick and sad.,"Мама моей мачехи умерла, и мне было плохо и грустно.",Family Issues,2,1,family
4903,It's the having to go back to school.,Это необходимость вернуться в школу.,School,1,0,work
5660,"as you passed out fast on my shoulder, I imagined a child waiting so sad and still for his mom to arrive.","Когда ты быстро потерял сознание на моем плече, я представил ребенка, который так грустно и все еще ждет прибытия своей мамы.",Everyday Decision Making,6,5,unknown
2402,Self quarantining for the Coronavirus.,Самостоятельный карантин из-за Коронавируса.,"Health, Fatigue, or Physical Pain",3,2,health
4287,"Since the last time I made a post, life has been extremely challenging.","С тех пор, как я в последний раз публиковал пост, жизнь стала чрезвычайно сложной.",Everyday Decision Making,6,5,unknown
495,Honestly right now the COVID-19,"Честно говоря, сейчас COVID-19","Health, Fatigue, or Physical Pain",3,2,health
2484,The amount my investments have fallen.,Сумма моих инвестиций упала.,Financial Problem,5,4,finance
1602,keeping an eye on the tenants,следить за арендаторами,Social Relationships,4,3,friends
4702,i need to work to buy equipt.,"мне нужно работать, чтобы купить оборудование.",Work,1,0,work
5820,oh one more thing.. Brandon's dog is dying and i feel like an ass because i couldn't be there for him.,"о, еще одна вещь... Собака Брэндона умирает, и я чувствую себя ослом, потому что не могу быть рядом с ним.",Social Relationships,4,3,friends
491,Homework is stressing me out,Домашняя работа меня напрягает,School,1,0,work
4029,"I'm a fuckin complication to the staff, and it is difficult for me to cope with that.","Я чертовски усложняю персонал, и мне трудно с этим справиться.",Work,1,0,work
5068,"now, school is the most stressful thing in my life.",теперь школа — самое стрессовое событие в моей жизни.,School,1,0,work
516,"I am a stay-at-home mom with a toddler, this coronavirus thing has me scared for her.","Я домохозяйка с малышом, и эта история с коронавирусом меня пугает за нее.",Family Issues,2,1,family
3033,work has been stressing me out.,работа меня напрягала.,Work,1,0,work
1860,"my entire situation is stressful, try being homeless.","Вся моя ситуация стрессовая, попробуй побыть бездомным.",Financial Problem,5,4,finance
4675,We're getting a bunch of work lately and tis STRESSING ME OUT.,"В последнее время у нас много работы, и это меня напрягает.",Work,1,0,work
1957,my job is pushing me to the limit,моя работа доводит меня до предела,Work,1,0,work
249,dude work has been kicking my butt lol,"чувак, работа меня надрала, лол",Work,1,0,work
474,"hi, recently i've been stressed with my workload from school and work with little time.","привет, в последнее время у меня стресс из-за школьной нагрузки и отсутствия времени на работу.",School,1,0,work
6528,"ahhh school sucks. its the same old crap day after day, and when your teachers feel that they dont have you under their total control, they just titch you.","ааа школа отстой. это одно и то же старое дерьмо изо дня в день, и когда ваши учителя чувствуют, что вы не держите вас под своим полным контролем, они просто ругают вас.",School,1,0,work
534,i am going through a legal situation at my job.,Я переживаю юридическую ситуацию на своей работе.,Work,1,0,work
5304,I just feel that people demand so much out of me that i dont have time to be me and live my life the way i want to.,"Я просто чувствую, что люди требуют от меня так многого, что у меня нет времени быть собой и жить так, как я хочу.",Social Relationships,4,3,friends
1550,just a little stressed out by the holidays.,просто немного нервничаю из-за праздников.,Emotional Turmoil,6,5,unknown
6764,"I need to find a job, I have to make tons of money before I go away.","Мне нужно найти работу, мне нужно заработать кучу денег, прежде чем я уеду.",Financial Problem,5,4,finance
521,i am concerned about my success in this life. it's needed for us all.,я обеспокоен своим успехом в этой жизни. это нужно всем нам.,Other,6,5,unknown
1546,james is trying to go into the military,Джеймс пытается пойти в армию,Social Relationships,4,3,friends
670,I am worried about COVID-19.,Я беспокоюсь о COVID-19.,"Health, Fatigue, or Physical Pain",3,2,health
546,i am having money issues,у меня проблемы с деньгами,Financial Problem,5,4,finance
3524,My mind has been working overtime for a week and I've been having some strange dreams.,"Мой разум неделю работал сверхурочно, и мне снились странные сны.",Emotional Turmoil,6,5,unknown
50,all these extra hours at work are driving me insane.,все эти дополнительные часы на работе сводят меня с ума.,Work,1,0,work
365,got a load of work and am procrastinating,"у меня много работы, и я откладываю дела на потом",Work,1,0,work
6245,After feeling very angry and upset with my mom.,"После того, как я очень разозлился и расстроился из-за мамы.",Family Issues,2,1,family
765,i feel lonely,я чувствую себя одиноким,Emotional Turmoil,6,5,unknown
3743,Finding a job! It's been so draining.,Ищем работу! Это было так истощающе.,Work,1,0,work
875,i have been having a hard time finding a job,мне было трудно найти работу,Work,1,0,work
274,family coming for a visit. they have special diets-i am nervous about cooking.,семья приезжает в гости. у них особая диета – я нервничаю по поводу готовки.,Family Issues,2,1,family
4781,I worry all the time about completing my assignments.,Я все время беспокоюсь о выполнении своих заданий.,School,1,0,work
3759,Moving and getting the next step of my life going.,Переезд и переход к следующему шагу в жизни.,Everyday Decision Making,6,5,unknown
502,hounded by robo calls,преследуемый звонками роботов,Other,6,5,unknown
6672,"she was crying the other day because it had been a month since our dog, Rocky, died.","на днях она плакала, потому что прошел месяц со дня смерти нашей собаки Рокки.",Emotional Turmoil,6,5,unknown
4775,Today at work was stressful.,Сегодня на работе был стресс.,Work,1,0,work
6833,"My Dad is always a difficult person, but today he really just put me in a horrible mood.","Мой папа всегда трудный человек, но сегодня он просто привел меня в ужасное настроение.",Family Issues,2,1,family
1578,just some changes happening at work.,просто некоторые изменения происходят на работе.,Work,1,0,work
3367,My health has been questionable as of late and I don't rest as well as I used to.,"В последнее время мое здоровье под вопросом, и я не отдыхаю так хорошо, как раньше.","Health, Fatigue, or Physical Pain",3,2,health
5498,I have been feeling kind of lonely and on the outside of things lately.,В последнее время я чувствую себя одиноким и отстраненным от всего.,Emotional Turmoil,6,5,unknown
3215,I am so tired I like can't wake myself up.,"Я так устал, что не могу проснуться.","Health, Fatigue, or Physical Pain",3,2,health
2330,reaching my goals at work,достижение моих целей на работе,Work,1,0,work
3628,I've not been feeling very well again today.,Сегодня я снова чувствую себя не очень хорошо.,"Health, Fatigue, or Physical Pain",3,2,health
585,i am so behind on my bills i don't want to lose my apartment.,"Я так задолжал по счетам, что не хочу терять свою квартиру.",Financial Problem,5,4,finance
2570,The covid19 situation is stressing me out. I can't find toilet paper. We all lost jobs.,Ситуация с covid19 меня напрягает. Я не могу найти туалетную бумагу. Мы все потеряли работу.,Work,1,0,work
4697,My schedule at work always conflicted with things.,Мой график на работе всегда противоречил вещам.,Work,1,0,work
2074,my sister is on my ass,моя сестра на моей заднице,Family Issues,2,1,family
5122,"With going to school, I can't really work enough to make enough money to pay for a place all by myself.","Ходя в школу, я не могу работать достаточно, чтобы заработать достаточно денег, чтобы самостоятельно оплатить место.",Financial Problem,5,4,finance
6758,I realize that right Our Financial situation doesn't look to good.,Я это понимаю. Наше финансовое положение выглядит не очень хорошим.,Financial Problem,5,4,finance
6486,"I already have been studying for about a week now, but I'm just worried cause it's all unknowns and I think it might be really tough.","Я уже учусь около недели, но я просто волнуюсь, потому что все это неизвестно, и я думаю, что это может быть очень сложно.",School,1,0,work
1174,i went to work with this lady that told me she would pay me and she hasnt even done so,"я пошел на работу к одной женщине, которая сказала мне, что заплатит мне, но она даже этого не сделала",Work,1,0,work
3778,Finding childcare has been hard!,Найти уход за ребенком было сложно!,Family Issues,2,1,family
6733,"I don't know, I miss a lot of people a lot more than I thought I did before I thought about things I missed too much.","Не знаю, я скучаю по многим людям гораздо больше, чем думал до того, как задумался о вещах, по которым слишком сильно скучал.",Social Relationships,4,3,friends
498,"honestly, organizing social situations when most people are out of town or busy","честно, организовывать социальные ситуации, когда большинство людей находятся за городом или заняты",Social Relationships,4,3,friends
6027,How am i supposed to make a living from this when I just can't get into it. I feel like it's making me seriously miserable.,"Как я могу зарабатывать на жизнь этим, если я просто не могу в это вникнуть. Я чувствую, что это делает меня серьезно несчастным.",Work,1,0,work
6212,My mom thinks Ellie isn't ready and I can't judge for myself in this situation.,"Моя мама считает, что Элли не готова, и я не могу судить сама в этой ситуации.",Family Issues,2,1,family
563,i am lonely and don't know how to solve the problem of getting over my depression.,"я одинок и не знаю, как решить проблему преодоления депрессии.",Emotional Turmoil,6,5,unknown
580,i am really deciding on whether i should quit my job or not.,"я действительно решаю, стоит ли мне уходить с работы или нет.",Work,1,0,work
2088,my son is failing science class,мой сын проваливает уроки естествознания,Family Issues,2,1,family
2316,preparing myself for my upcoming wedding.,готовлюсь к предстоящей свадьбе.,Family Issues,2,1,family
200,covid-19 is all over my town and i'm afraid to die!,"Covid-19 распространился по всему моему городу, и я боюсь умереть!","Health, Fatigue, or Physical Pain",3,2,health
1631,life has been all around stressful lately,в последнее время жизнь полна стрессов,Everyday Decision Making,6,5,unknown
6716,"Because of all my emotional burdens, I have become apathetic and have no drive to excel academically.",Из-за всей моей эмоциональной нагрузки я стал апатичным и не имею стремления к успеху в учебе.,School,1,0,work
1830,my dad needs surgery next week,моему отцу нужна операция на следующей неделе,Family Issues,2,1,family
5804,I am feeling shitty and lonely.,Я чувствую себя дерьмово и одиноко.,Emotional Turmoil,6,5,unknown
4078,i'm sad that i have to go to work though.,"хотя мне грустно, что мне нужно идти на работу.",Work,1,0,work
2833,trying to beat my addiction that i been battling for 4 years very hard to beat,"пытаюсь побороть свою зависимость, с которой я боролся уже 4 года, очень трудно победить","Health, Fatigue, or Physical Pain",3,2,health
1827,my current job has been stressing me out.,моя текущая работа меня напрягает.,Work,1,0,work
5682,i feel like s h i t. it's kind of hard for me to even describe the way that i feel right now. at the risk of not being understood,"я чувствую себя дерьмово. мне даже трудно описать то, что я чувствую сейчас. рискуя быть непонятым",Emotional Turmoil,6,5,unknown
5145,ehhhh I need to get my hold lifted tomorrow so I can register for classes.,"эххх, завтра мне нужно снять хватку, чтобы я мог записаться на занятия.",School,1,0,work
4118,It is a tumultuous time for my family right now,Для моей семьи сейчас неспокойное время,Family Issues,2,1,family
3182,"but yeah, now I am feeling way tired, a bit on the sore side and fatigued.","но да, сейчас я чувствую себя очень усталым, немного болеющим и утомленным.","Health, Fatigue, or Physical Pain",3,2,health
2413,Since the Covid-19 I have to rething my travel plans to Oakland for my second opinion.,"После Covid-19 мне пришлось пересмотреть свои планы поездки в Окленд, чтобы получить второе мнение.","Health, Fatigue, or Physical Pain",3,2,health
6848,Got into another fight with my brother.,Попал в очередную драку с братом.,Family Issues,2,1,family
4169,I've been sort of frustrated at work lately.,В последнее время я немного расстроен на работе.,Work,1,0,work
2859,Trying to homeschool my son is really stressing me out,Попытка обучать сына на дому меня очень напрягает,Family Issues,2,1,family
4016,"i was having another ""one of those days"" and was quite frustrated with the way i was feeling.","у меня был еще один «один из тех дней», и я был очень расстроен тем, как себя чувствовал.",Emotional Turmoil,6,5,unknown
283,feeling inadequate at work/doubting what occupation fits for me,"чувствую себя неадекватным на работе/сомневаюсь, какая профессия мне подойдет",Work,1,0,work
67,"at the time i was very angry to with my friend and then , i am going to depression stage","в то время я очень злился на своего друга, а затем у меня наступила стадия депрессии",Social Relationships,4,3,friends
6338,My daughter is suffering badly from the relationship my mother created between that old man and my child.,"Моя дочь сильно страдает от отношений, которые моя мать создала между этим стариком и моим ребенком.",Family Issues,2,1,family
2211,Not knowing whether or not my husband will lose his job due to COVID-19.,"Не знаю, потеряет ли мой муж работу из-за COVID-19.",Work,1,0,work
5549,The problem is that Brenda and her roommate are not talking so more drama!,"Проблема в том, что Бренда и ее соседка по комнате не разговаривают так драматично!",Social Relationships,4,3,friends
1526,I've been worrying about COVID-19 a lot.,Я много беспокоился о COVID-19.,"Health, Fatigue, or Physical Pain",3,2,health
1238,i'm having a hard time at ork,мне тяжело в Орке,Work,1,0,work
1322,i'm stressed about work since we have a filing deadline next week.,"Я нервничаю из-за работы, так как на следующей неделе у нас крайний срок подачи заявок.",Work,1,0,work
6341,Bills were late and I couldn't aford a babysitter for her.,"Счета опаздывали, и я не мог позволить себе нанять для нее няню.",Financial Problem,5,4,finance
1150,i totaled my car and i need another car asap.,"Я подсчитал свою машину, и мне срочно нужна другая машина.",Financial Problem,5,4,finance
4353,Very nervous about going back to work.,Очень нервничаю по поводу возвращения на работу.,Work,1,0,work
3755,just had to spend a ton of money fixing our plumbing,просто пришлось потратить кучу денег на ремонт сантехники,Financial Problem,5,4,finance
1807,my child's father is not active in my sons life and i'm struggling!,"отец моего ребенка не принимает активного участия в жизни моего сына, и я борюсь с трудностями!",Family Issues,2,1,family
353,Girl tell me why my aunt (that lives) around the corner stole $20 from me.,"Девушка, скажите мне, почему моя тетя (которая живет) за углом украла у меня 20 долларов.",Family Issues,2,1,family
3336,the past couple weeks have been ultra busy and stressfull.,последние пару недель были очень загруженными и напряженными.,Work,1,0,work
5175,My classes have far too much reading already.,В моих классах уже слишком много читают.,School,1,0,work
4476,"seriously, I look back on the things I HAVE to accomplish each day, and it's insane!","серьезно, я оглядываюсь назад на то, что мне ДОЛЖНО выполнить каждый день, и это безумие!",Everyday Decision Making,6,5,unknown
5476,his girlfriend broke up with him.,его девушка рассталась с ним.,Social Relationships,4,3,friends
2792,This virus that's going around.  Finding an apartment is hard.  Everything Is expensive,"Этот вирус, который ходит вокруг.  Найти квартиру сложно.  Все дорого",Financial Problem,5,4,finance
4468,Like.. I feel like I absolutely cannot relax if there's something that needs to be done around the house.,"Типа... Я чувствую, что совершенно не могу расслабиться, если нужно что-то сделать по дому.",Everyday Decision Making,6,5,unknown
629,i am stressed out over my current electric bill. i am not going to be able to pay it.,Я испытываю стресс из-за текущего счета за электричество. я не смогу его оплатить.,Financial Problem,5,4,finance
3346,"Mad depression is really, really bad and makes me want to drink.","Безумная депрессия — это очень, очень плохо, и мне хочется пить.","Health, Fatigue, or Physical Pain",3,2,health
3634,I'm really tired and I do not feel very well.,Я очень устал и чувствую себя не очень хорошо.,"Health, Fatigue, or Physical Pain",3,2,health
3745,Hi dear am not comfortable with my boyfriend,"Привет, дорогая, мне некомфортно со своим парнем",Social Relationships,4,3,friends
6298,"my marraige is falling apart and my husband doesnt want to talk about it, just issue demands and ultimatums.","мой брак разваливается, и мой муж не хочет об этом говорить, а только предъявляет требования и ультиматумы.",Family Issues,2,1,family
4532,It's been exhausting trying to maintain a normal day when your mind is consumed with one thought.,"Было утомительно пытаться вести обычный день, когда твой разум поглощен одной мыслью.",Emotional Turmoil,6,5,unknown
2175,Not being able to see my family.,Невозможность увидеть свою семью.,Family Issues,2,1,family
6364,"On another note, my mom is pissed at me.","С другой стороны, моя мама злится на меня.",Family Issues,2,1,family
3727,covid 19 pandemic disease,пандемическое заболевание covid 19,"Health, Fatigue, or Physical Pain",3,2,health
4741,ONE WAY just to have dinner with a bunch of people I don't like and my mom and bro?,"ОДИН СПОСОБ просто поужинать с группой людей, которые мне не нравятся, а также с моей мамой и братом?",Social Relationships,4,3,friends
2251,"oh you know, my roommate flooded the kitchen again.  it's the 10th time this week!","ох, знаешь, мой сосед по комнате снова затопил кухню.  это 10-й раз на этой неделе!",Social Relationships,4,3,friends
4583,sooooo we went to collina's after having huge debates and fights over what to eat for dinner.,"ооооо, мы пошли к Коллине после огромных дебатов и ссор по поводу того, что есть на ужин.",Other,6,5,unknown
1473,i've been stressed about applying for my house loan.,Я был в стрессе из-за подачи заявления на получение кредита на жилье.,Financial Problem,5,4,finance
4593,No idea what I'm going to cook for dinner.,"Понятия не имею, что буду готовить на ужин.",Other,6,5,unknown
4447,It does become tiresome and we've a long day of work ahead of us,"Это становится утомительно, и впереди нас ждет долгий рабочий день.",Work,1,0,work
5184,Too bad they have to go back to school.,"Жаль, что им придется вернуться в школу.",School,1,0,work
3692,I have been trying to get my 3 year old grandson to finally finish his potty training.,Я пытался уговорить своего трехлетнего внука наконец приучить его к горшку.,Family Issues,2,1,family
4377,Work has been so exhausting for me lately.,В последнее время работа меня очень утомляет.,Work,1,0,work
6655,alot of things are stressing me out right now and one of them is really worrying me bc if its true than i totally just fucked up my life.,"Многие вещи сейчас меня раздражают, и одна из них меня очень беспокоит, потому что если это правда, то я только что испортил свою жизнь.",Emotional Turmoil,6,5,unknown
3797,I'm greatly concerned about defunding Police.,Я очень обеспокоен сокращением финансирования полиции.,Other,6,5,unknown
4417,"I've taken time to do a lot of thinking, and a lot of things have changed in my mind. I think it's for the better, but we'll see.","Я потратил время на то, чтобы много подумать, и многое изменилось в моем сознании. Думаю, это к лучшему, но посмотрим.",Emotional Turmoil,6,5,unknown
3400,"no movie, or song, or anything can cheer me up.","ни фильм, ни песня, ни что-то еще не может поднять мне настроение.",Emotional Turmoil,6,5,unknown
1747,my boss is always giving me a hard time,мой босс всегда доставляет мне неприятности,Work,1,0,work
3266,also my mom went to the doctor cause she's still having pain.,"еще моя мама обратилась к врачу, потому что у нее все еще болит.",Family Issues,2,1,family
4355,We get to depend on them so much that when they cease to work we dont know what to do!,"Мы настолько зависим от них, что когда они перестают работать, мы не знаем, что делать!",Everyday Decision Making,6,5,unknown
3626,"But even when I was there, she wasn't doing too well physically.","Но даже когда я был там, физически она чувствовала себя не очень хорошо.","Health, Fatigue, or Physical Pain",3,2,health
1314,I'm stressed about my finances because of COVID and entering grad school.,Я переживаю из-за своих финансов из-за COVID и поступления в аспирантуру.,School,1,0,work
1278,i'm not making enough money to make ends meet.,"я не зарабатываю достаточно денег, чтобы сводить концы с концами.",Financial Problem,5,4,finance
1513,i've been trying to get pregnant and still nothing,"я пытаюсь забеременеть, но ничего не получается",Family Issues,2,1,family
97,Being laod off from my job,Меня уволили с работы,Work,1,0,work
3276,"Im just so tired from everything and i think im getting sick, but what can ya do?","Я так устал от всего и думаю, что заболею, но что ты можешь сделать?","Health, Fatigue, or Physical Pain",3,2,health
2386,school is getting very hard.,в школе становится очень тяжело.,School,1,0,work
4309,That's an issue I'm having an extremely difficult time grasping...having a job that doesn't make me happy.,"Это проблема, которую мне очень трудно понять... работа, которая не делает меня счастливым.",Work,1,0,work
5345,I can't have a nice life!,Я не могу жить хорошо!,Emotional Turmoil,6,5,unknown
5750,I need to release a lot of anger.,Мне нужно высвободить много гнева.,Emotional Turmoil,6,5,unknown
3812,Work has me so stressed you wouldn't believe! It's a nightmare.,"Работа меня так напрягает, что вы не поверите! Это кошмар.",Work,1,0,work
4213,maybe that's why i'm having so much trouble quitting...,может поэтому мне так трудно бросить курить...,Work,1,0,work
240,disease is killing people,болезнь убивает людей,"Health, Fatigue, or Physical Pain",3,2,health
1398,it is the fact that i now have guardianship of my grandkids.   i worry about it.,"Дело в том, что теперь у меня есть опека над моими внуками.   я беспокоюсь об этом.",Family Issues,2,1,family
3655,Lately I really haven't been sleeping well.,В последнее время я действительно плохо сплю.,"Health, Fatigue, or Physical Pain",3,2,health
1609,lack of free time is really getting me down.,отсутствие свободного времени меня очень расстраивает.,Work,1,0,work
1693,money is a big issue right now,деньги сейчас большая проблема,Financial Problem,5,4,finance
3288,My baby is sick and I feel bad that he is less than comfortable due to his health.,"Мой ребенок заболел, и мне жаль, что он чувствует себя не очень комфортно из-за своего здоровья.","Health, Fatigue, or Physical Pain",3,2,health
2847,Trying to find a new roommate.,Пытаюсь найти нового соседа по комнате.,Social Relationships,4,3,friends
1564,just exhausted from working all night on this project that's due soon,"просто устал работать всю ночь над этим проектом, который скоро выйдет",Work,1,0,work
2108,my study is to leave strees of that time,моя задача - покинуть улицы того времени,School,1,0,work
3128,worried about paying bills on time,беспокоюсь о своевременной оплате счетов,Financial Problem,5,4,finance
135,buying my first home,покупка моего первого дома,Financial Problem,5,4,finance
454,hi friend. give me some idea preparing a meal. this makes me streeful in deciding. give,"привет, друг. подскажи мне идею приготовления еды. это заставляет меня сомневаться в принятии решения. давать",Everyday Decision Making,6,5,unknown
3619,"I've been very sick for a week, mostly homebound.","Я был очень болен в течение недели, в основном был дома.","Health, Fatigue, or Physical Pain",3,2,health
1932,"My husband works with the person he cheated on me with, how do i handle this?","Мой муж работает с человеком, с которым он мне изменил, как мне с этим справиться?",Family Issues,2,1,family
1573,just money honestly! you know how it is,"просто деньги честно! ты знаешь, как это",Financial Problem,5,4,finance
1768,my bosses are engaged in some serious conflict and dragging me into it,мое начальство затеяло какой-то серьезный конфликт и втягивает в него меня,Work,1,0,work
4512,This puts me two full weeks behind already and is a bit stressful.,Из-за этого я уже отстаю на две полные недели и это немного напрягает.,Other,6,5,unknown
2728,there's just so much going on at work.,на работе столько всего происходит.,Work,1,0,work
6646,I really don't think I can keep a lasting relationship because of it.,"Я действительно не думаю, что смогу сохранить длительные отношения из-за этого.",Social Relationships,4,3,friends
2956,What hasn't been stressing me out?,Что меня не напрягало?,Emotional Turmoil,6,5,unknown
2617,the kids have been behaving badly,дети вели себя плохо,Family Issues,2,1,family
4409,"im so stressed out, i just dont have time for extra work.","Я так напряжен, что у меня просто нет времени на дополнительную работу.",Work,1,0,work
1160,i was having chest pains the other day,на днях у меня были боли в груди,"Health, Fatigue, or Physical Pain",3,2,health
965,i have been working too many hours but don't have a choice because of home issues,"я работаю слишком много часов, но у меня нет выбора из-за домашних проблем",Work,1,0,work
979,i have had a headache for several days,у меня болит голова уже несколько дней,"Health, Fatigue, or Physical Pain",3,2,health
6135,It pretty much sucks because I need money to pay my bills.,"Это отстой, потому что мне нужны деньги, чтобы оплатить счета.",Financial Problem,5,4,finance
6460,"I need to start working, big time.","Мне нужно начать работать, пора.",Work,1,0,work
2027,My parents are old and I'm unsure if the coronavirus will happen to them,"Мои родители старые, и я не уверен, случится ли с ними коронавирус.",Family Issues,2,1,family
3901,"Going back to work SUCKED... I still can't seem to get back into the swing of things, haha...","Возвращение на работу - ОТСТОЙ... Кажется, я до сих пор не могу вернуться в строй, хаха...",Work,1,0,work
684,"I am worried about the coronavirus and economy, how about you?","Меня беспокоит коронавирус и экономика, а вы?",Financial Problem,5,4,finance
1574,"just not enough time in the day, so many things to do!","просто не хватает времени в сутках, так много дел!",Everyday Decision Making,6,5,unknown
1703,money situation,ситуация с деньгами,Financial Problem,5,4,finance
4339,this is gonna be so hard today...everytime i start to even think about it my stomach turns.,"сегодня будет так тяжело... каждый раз, когда я начинаю об этом думать, у меня переворачивается живот.","Health, Fatigue, or Physical Pain",3,2,health
5895,"Instead, this seems to say, I am most afraid of overextending myself and not being able to meet all the obligations that I've put on myself.","Вместо этого, кажется, это говорит о том, что я больше всего боюсь перенапряжения и неспособности выполнить все обязательства, которые я на себя возложил.",Emotional Turmoil,6,5,unknown
5161,"because of that, he fears for our kids when they go to school that no matter what grades they get, it won't be good enough for me.","из-за этого он опасается за наших детей, когда они пойдут в школу, что какие бы оценки они ни получили, мне этого будет недостаточно.",School,1,0,work
1040,I haven't been able to get out like I used to because my anxiety is so bad.,"Я не могу выйти, как раньше, потому что очень сильно волнуюсь.",Emotional Turmoil,6,5,unknown
6183,I can't talk to my parents about my deep feelings.,Я не могу говорить с родителями о своих глубоких чувствах.,Family Issues,2,1,family
4146,"Its really hard to balance out my time, and my friends.",Очень сложно сбалансировать свое время и время с друзьями.,Social Relationships,4,3,friends
5701,paperwork and money and stuff seriously stress me out and make me want to barf..but its important..so yes. im officially scared.,"документы, деньги и прочее меня серьезно напрягают и вызывают рвоту… но это важно… так что да. я официально напуган.",Financial Problem,5,4,finance
